Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),In-app purchase ROAS (return on ad spend),percentage app,App installs,Mobile app installs,Cost per app install,Reporting starts,Reporting ends
Advantage+ KSA app campaign 01/08/2024 Campaign,3/19/2026,active,campaign,7-day click,In-app purchases,1,17592,1.44241701,2420.94,2420.94,25375,95.40650246,249,9.7226506,0.98128079,261,1.02857143,9.27563218,1,172,172,,14.07523256,1,1245,1245,2420.94,0.51426305,0.51426305,48.99598394,122,122,19.84377049,3/19/2026,3/19/2026
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/19/2026,active,campaign,7-day click,In-app purchases,9,98605,1.30361544,657.0811111,5913.73,128543,46.00585018,557,10.61710952,0.43331803,769,0.59824339,7.69015605,9,310,309,1,19.07654839,10,14752,12190,591.373,2.49453391,2.06130479,45.24236984,252,252,23.46718254,3/19/2026,3/19/2026
New App IOS KSA promotion campaign,3/19/2026,active,campaign,Multiple attribution settings,In-app purchases,1,13365,1.25948373,2948.41,2948.41,16833,175.1565378,139,21.21158273,0.82575893,195,1.15843878,15.12005128,1,30,30,,98.28033333,1,2271,2271,2948.41,0.77024566,0.77024566,35.97122302,50,50,58.9682,3/19/2026,3/19/2026
Advantage+ shopping campaign 02/03/2025 Campaign,3/19/2026,active,campaign,Multiple attribution settings,,,25795,2.13405699,,1944.16,55048,35.31754106,326,5.96368098,0.59221043,1371,2.4905537,1.41805981,25,39,38,1,49.85025641,25,15389,15389,77.7664,7.91550078,7.91550078,2.45398773,8,8,243.02,3/19/2026,3/19/2026
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/19/2026,active,campaign,7-day click,In-app purchases,37,716284,1.41356222,1038.840541,38437.1,1012512,37.96211798,3420,11.23891813,0.33777377,4297,0.42439003,8.94510123,37,1452,1451,1,26.47183196,38,17738,16238,1011.502632,0.46148123,0.42245643,38.88888889,1330,1330,28.90007519,3/19/2026,3/19/2026
UAE App promotion Campaign 26 June 25,3/19/2026,active,campaign,7-day click,In-app purchases,3,6939,1.44430033,533.7733333,1601.32,10022,159.7804829,123,13.01886179,1.22729994,134,1.33705847,11.95014925,3,100,100,,16.0132,3,6277.2,6277.2,533.7733333,3.92001599,3.92001599,59.3495935,73,73,21.93589041,3/19/2026,3/19/2026
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/19/2026,active,campaign,Multiple attribution settings,In-app purchases,2,121118,1.44626728,5290.08,10580.16,175169,60.39972826,626,16.90121406,0.35736917,1224,0.69875377,8.64392157,2,146,146,,72.46684932,2,4977.46,4977.46,5290.08,0.47045224,0.47045224,29.55271565,185,185,57.19005405,3/19/2026,3/19/2026
New qatar App promotion Campaign 23 sept 25,3/19/2026,active,campaign,7-day click,,,12606,1.48706965,,2153.73,18746,114.8901099,151,14.26311258,0.80550517,171,0.9121946,12.59491228,,60,60,,35.8955,,,,,,,37.74834437,57,57,37.78473684,3/19/2026,3/19/2026
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/19/2026,active,campaign,7-day click or 1-day view,,,483394,1.05763828,,977.45,511256,1.9118602,91,10.74120879,0.0177993,314,0.06141737,3.11289809,,,,,,,,,,,,0,,,,3/19/2026,3/19/2026
New App promotion oman and bahrain Campaign 22 jan 2026,3/19/2026,active,campaign,7-day click,,,16981,1.6379483,,2999.43,27814,107.8388581,157,19.10464968,0.56446394,176,0.63277486,17.04221591,,82,82,,36.57841463,,,,,,,43.31210191,68,68,44.10926471,3/19/2026,3/19/2026
