Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result Type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),App Installs,Cost per App Install,App activiations,In-app sessions,Website landing page views,Instagram follows
Advantage+ KSA app campaign 01/08/2024 Campaign,3/28/2026,active,campaign,7-day click,In-app purchases,2,18617,1.38609873,1144.39,2288.78,25805,88.69521411,184,12.43902174,0.71304011,213,0.82542143,10.74544601,2,125,125,,18.31024,2,1752.02,1752.02,1144.39,0.76548205,98,23.35489796,372,372,,0
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/28/2026,active,campaign,7-day click,In-app purchases,5,68465,1.28215877,1154.458,5772.29,87783,65.75635374,494,11.68479757,0.56275133,591,0.67325109,9.76698816,5,233,232,1,24.77377682,5,1161,1161,1154.458,0.20113335,216,26.72356481,595,595,1,7
All-Lookalike-manual-registration 27-07-24,3/28/2026,active,campaign,7-day click,,,219375,1.41085356,,15869.98,309506,51.27519337,1334,11.89653673,0.43100942,1715,0.55410881,9.25363265,11,481,481,,32.99372141,11,12279,12279,1442.725455,0.77372498,501,31.67660679,1518,1518,5,9
Advantage+ shopping campaign 02/03/2025 Campaign,3/28/2026,active,campaign,Multiple attribution settings,,,19118,2.32608013,,1755.58,44470,39.47785024,189,9.28878307,0.42500562,787,1.7697324,2.23072427,34,56,53,3,31.34964286,34,28545,28545,51.63470588,16.25958373,10,175.558,18783,18783,62,2
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/28/2026,active,campaign,7-day click,In-app purchases,41,673937,1.36543624,886.5936585,36350.34,920218,39.5018789,3342,10.87682226,0.36317481,4295,0.46673723,8.46340861,41,1553,1551,2,23.4065293,41,13025,13025,886.5936585,0.35831852,1357,26.78728077,3287,3287,9,21
UAE App promotion Campaign 26 June 25,3/28/2026,active,campaign,7-day click,In-app purchases,5,7057,1.32237495,316.616,1583.08,9332,169.6399486,77,20.55948052,0.82511787,84,0.90012859,18.84619048,5,58,58,,27.29448276,5,8256.18,8256.18,316.616,5.21526392,45,35.17955556,231,231,,0
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/28/2026,active,campaign,7-day click,,,131618,1.33722591,,10877.85,176003,61.80491242,580,18.75491379,0.32953984,1173,0.66646591,9.27352941,,183,183,,59.44180328,,,,,,213,51.06971831,1,1,3,7
New qatar App promotion Campaign 23 sept 25,3/28/2026,active,campaign,7-day click,In-app purchases,1,11830,1.50490279,2086.99,2086.99,17803,117.2268719,112,18.63383929,0.62910745,131,0.73583104,15.93122137,1,61,61,,34.21295082,1,2149.55,2149.55,2086.99,1.02997619,46,45.36934783,113,113,,0
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/28/2026,active,campaign,7-day click or 1-day view,,,479493,1.01274888,,1016.26,485606,2.09276656,91,11.16769231,0.01873947,284,0.05848363,3.57838028,,4,4,,254.065,,,,,,2,508.13,29,29,14,1
New App promotion oman and bahrain Campaign 22 jan 2026,3/28/2026,active,campaign,7-day click,In-app purchases,2,16937,1.5976265,1485.985,2971.97,27059,109.8329576,135,22.01459259,0.49890979,147,0.54325733,20.21748299,2,96,96,,30.95802083,2,6431.95,6431.95,1485.985,2.16420421,59,50.37237288,232,232,,0
Middle Funnel 2(web visit),3/27/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,15,3769,1.31573362,9.064,135.96,4959,27.41681791,27,5.03555556,0.54446461,99,1.99637024,1.37333333,,15,12,3,9.064,,,,,,5,27.192,97,97,16,1
Middle Funnel Ad 3(fb-insta),3/27/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,37,10155,1.27720335,6.95324324,257.27,12970,19.83577487,63,4.08365079,0.48573631,272,2.09714726,0.94584559,1,37,34,3,6.95324324,1,199,199,257.27,0.77350643,6,42.87833333,190,190,36,0
NF App Conversions,3/27/2026,active,campaign,7-day click or 1-day view,In-app purchases,2,4023,1.72309222,435.13,870.26,6932,125.542412,311,2.79826367,4.4864397,346,4.99134449,2.51520231,2,60,60,,14.50433333,2,442,442,435.13,0.50789419,2,435.13,2914,2914,,0
Bottom Funnel – Copy,3/27/2026,active,campaign,7-day click or 1-day view,actions:purchase,9,8566,1.54027551,39.95444444,359.59,13194,27.25405487,16,22.474375,0.12126724,199,1.50826133,1.80698492,9,13,12,1,27.66076923,9,5323,5323,39.95444444,14.80297005,6,59.93166667,4297,4297,5,0
All-Lookalike-manual-registration 27-07-24,3/27/2026,active,campaign,7-day click,,,192391,1.50298611,,14820.15,289161,51.25224356,1107,13.38766938,0.38283171,1479,0.51147976,10.0203854,9,465,465,,31.87129032,9,2552,2552,1646.683333,0.17219799,416,35.62536058,1478,1478,,4
Advantage+ KSA app campaign 01/08/2024 Campaign,3/27/2026,active,campaign,7-day click,,,19720,1.42236308,,2624.75,28049,93.57731113,225,11.66555556,0.80216764,272,0.96973154,9.64981618,,188,188,,13.96143617,,,,,,125,20.998,343,343,1,2
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/27/2026,active,campaign,7-day click,In-app purchases,8,64533,1.38708878,670.65,5365.2,89513,59.93766269,442,12.13846154,0.49378303,580,0.64795058,9.25034483,8,255,255,,21.04,8,19613,19613,670.65,3.65559532,200,26.826,737,737,3,6
Advantage+ shopping campaign 02/03/2025 Campaign,3/27/2026,active,campaign,Multiple attribution settings,,,27684,2.08094928,,1915.12,57609,33.24341683,273,7.01509158,0.47388429,1493,2.59160895,1.28273275,29,88,85,3,21.76272727,31,23231,17631,61.77806452,12.13031037,15,127.6746667,19094,19094,97,2
New App IOS KSA promotion campaign,3/27/2026,active,campaign,Multiple attribution settings,In-app purchases,1,20088,1.30112505,3896.2,3896.2,26137,149.0683705,206,18.91359223,0.78815472,275,1.0521483,14.168,1,43,43,,90.60930233,1,3746.54,3746.54,3896.2,0.96158821,53,73.51320755,,,2,1
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/27/2026,active,campaign,7-day click,In-app purchases,35,641992,1.37711996,961.5491429,33654.22,884100,38.0660785,2976,11.30854167,0.33661351,4009,0.45345549,8.394667,35,1539,1539,,21.86758934,35,12598,12598,961.5491429,0.37433641,1331,25.2849136,3413,3413,5,19
UAE App promotion Campaign 26 June 25,3/27/2026,active,campaign,7-day click,In-app purchases,2,7450,1.39973154,842.145,1684.29,10428,161.5161105,108,15.59527778,1.03567319,132,1.26582278,12.75977273,2,74,74,,22.76067568,2,1759.41,1759.41,842.145,1.0446004,61,27.61131148,212,212,,1
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/27/2026,active,campaign,7-day click,In-app purchases,2,162097,1.37488047,5949.655,11899.31,222864,53.39269689,623,19.10001605,0.27954268,1472,0.6604925,8.08377038,2,145,145,,82.0642069,2,3239.46,3239.46,5949.655,0.27223931,178,66.85005618,6,6,1,6
New qatar App promotion Campaign 23 sept 25,3/27/2026,active,campaign,7-day click,In-app purchases,2,12986,1.49306946,1047.365,2094.73,19389,108.0370313,123,17.0303252,0.63438032,155,0.79942235,13.5143871,2,83,83,,25.23771084,2,5926.58,5926.58,1047.365,2.8292811,59,35.50389831,191,191,1,0
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/27/2026,active,campaign,7-day click or 1-day view,,,508749,1.00379165,,998.93,510678,1.95608583,70,14.27042857,0.01370727,282,0.05522071,3.54230496,,1,,1,998.93,,,,,,1,998.93,28,28,14,0
New App promotion oman and bahrain Campaign 22 jan 2026,3/27/2026,active,campaign,7-day click,In-app purchases,3,17808,1.64403639,989.23,2967.69,29277,101.3659186,162,18.31907407,0.55333538,179,0.61140144,16.57927374,3,80,78,2,37.096125,3,11726.22,11726.22,989.23,3.95129545,59,50.29983051,191,191,1,0
New App IOS KSA promotion campaign,3/26/2026,active,campaign,Multiple attribution settings,In-app purchases,1,17685,1.27424371,3124.94,3124.94,22535,138.6705125,183,17.07617486,0.81207011,258,1.14488573,12.11217054,1,50,50,,62.4988,1,2046.13,2046.13,3124.94,0.65477417,65,48.076,,,,2
Middle Funnel 2(web visit),3/26/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,13,5016,1.35067783,13.79461538,179.33,6775,26.46937269,35,5.12371429,0.51660517,73,1.07749077,2.45657534,,13,12,1,13.79461538,,,,,,3,59.77666667,88,88,14,0
Middle Funnel Ad 3(fb-insta),3/26/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,35,14160,1.30515537,10.41542857,364.54,18481,19.7251231,65,5.60830769,0.35171257,398,2.15356312,0.91592965,,35,30,5,10.41542857,,,,,,5,72.908,216,216,37,1
NF App Conversions,3/26/2026,active,campaign,7-day click or 1-day view,In-app purchases,7,4925,1.81522843,155.6485714,1089.54,8940,121.8724832,327,3.33192661,3.65771812,396,4.4295302,2.75136364,7,70,70,,15.56485714,7,5938,5938,155.6485714,5.45000642,7,155.6485714,2770,2770,,0
Bottom Funnel – Copy,3/26/2026,active,campaign,7-day click or 1-day view,actions:purchase,10,9922,1.65238863,40.929,409.29,16395,24.96431839,39,10.49461538,0.2378774,266,1.62244587,1.53868421,10,13,13,,31.48384615,10,5778,5778,40.929,14.11712966,7,58.47,4516,4516,14,0
Advantage+ KSA app campaign 01/08/2024 Campaign,3/26/2026,active,campaign,7-day click,In-app purchases,1,20170,1.42716906,2527.74,2527.74,28786,87.81143611,210,12.03685714,0.7295213,262,0.91016466,9.6478626,1,161,161,,15.70024845,1,1299,1299,2527.74,0.51389779,120,21.0645,312,312,,2
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/26/2026,active,campaign,7-day click,In-app purchases,10,80471,1.32544643,591.205,5912.05,106660,55.42893306,584,10.12337329,0.54753422,765,0.71723233,7.72816993,10,316,316,,18.70901899,10,4456,4456,591.205,0.75371487,263,22.47927757,713,713,,1
All-Lookalike-manual-registration 27-07-24,3/26/2026,active,campaign,7-day click,,,234049,1.44895727,,15455.27,339127,45.57369363,1291,11.97154919,0.38068334,1781,0.52517199,8.67786075,13,569,568,1,27.16216169,13,8146,8146,1188.866923,0.52706941,497,31.09712274,1576,1576,3,13
Advantage+ shopping campaign 02/03/2025 Campaign,3/26/2026,active,campaign,Multiple attribution settings,,,31721,2.17269317,,2152.06,68920,31.22547882,294,7.31993197,0.42658154,1997,2.89756239,1.07764647,39,99,95,4,21.7379798,40,32500.58,30500.58,53.8015,15.10207894,17,126.5917647,19008,19008,98,1
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/26/2026,active,campaign,7-day click,In-app purchases,36,813668,1.40294444,1039.665278,37427.95,1141531,32.78750205,3516,10.64503697,0.3080074,4866,0.42626963,7.69172832,36,1649,1649,,22.69736204,36,8772,8772,1039.665278,0.2343703,1484,25.22099057,3566,3566,2,34
UAE App promotion Campaign 26 June 25,3/26/2026,active,campaign,7-day click,,,7525,1.31003322,,1660.09,9858,168.400284,85,19.53047059,0.86224386,103,1.04483668,16.11737864,,66,66,,25.15287879,,,,,,57,29.12438596,158,158,,0
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/26/2026,active,campaign,7-day click,In-app purchases,1,193267,1.36632224,11496.98,11496.98,264065,43.53844697,678,16.95719764,0.25675497,1708,0.64681044,6.73125293,1,227,226,1,50.64748899,1,1999,1999,11496.98,0.17387175,265,43.38483019,10,10,1,5
