id,campaign_name,campaign_id,day,delivery_status,result_type,results,reach,frequency,cost_per_result,amount_spent_inr,impressions,cpm,link_clicks,cpc_link,ctr_link,clicks_all,ctr_all,cpc_all,in_app_purchases,registrations_completed,in_app_registrations,website_registrations,cost_per_registration_completed,purchases,purchases_conversion_value,in_app_purchases_conversion_value,cost_per_purchase,purchase_roas,app_installs,cost_per_app_install,app_activations,in_app_sessions,website_landing_page_views,instagram_follows
3103,New qatar App promotion Campaign 23 sept 25,120231060494030318,2026-03-03,active,,,14352.0,1.38559086,,2153.78,19886.0,108.3063462,133.0,16.19383459,0.66881223,166.0,0.83475812,12.97457831,,83.0,83.0,,25.94915663,,,,,,62.0,34.7383871,141.0,141.0,,4.0
3101,UAE App promotion Campaign 26 June 25,120225757421370318,2026-03-03,active,In-app purchases,2.0,9809.0,1.26577633,791.135,1582.27,12416.0,127.4379833,118.0,13.4090678,0.9503866,142.0,1.14368557,11.14274648,2.0,109.0,109.0,,14.51623853,2.0,3120.68,3120.68,791.135,1.97228033,73.0,21.67493151,342.0,342.0,,0.0
3081,Advantage+ KSA app campaign 01/08/2024 Campaign,120209414239730318,2026-03-04,active,In-app purchases,6.0,25414.0,1.2786653,455.6366667,2733.82,32496.0,84.12789266,288.0,9.49243056,0.88626292,299.0,0.92011324,9.1432107,6.0,232.0,231.0,1.0,11.7837069,6.0,11378.57,11378.57,455.6366667,4.1621504,174.0,15.7116092,459.0,459.0,,1.0
3085,Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,120217652310390318,2026-03-04,active,In-app purchases,49.0,623891.0,1.4229008,751.7634694,36836.41,887735.0,41.49482672,2749.0,13.39993088,0.30966448,3955.0,0.44551584,9.31388369,49.0,1431.0,1428.0,3.0,25.74172607,49.0,14620.0,14620.0,751.7634694,0.39688992,1212.0,30.39307756,3023.0,3023.0,1.0,24.0
3082,Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,120212196648420318,2026-03-04,active,In-app purchases,7.0,69923.0,1.36222702,849.0071429,5943.05,95251.0,62.39357067,438.0,13.56860731,0.45983769,611.0,0.64146308,9.72675941,7.0,268.0,268.0,,22.1755597,7.0,7933.0,7933.0,849.0071429,1.33483649,241.0,24.65995851,583.0,583.0,1.0,1.0
3084,Advantage+ shopping campaign 02/03/2025 Campaign,120215731086760318,2026-03-04,active,,,27058.0,3.07435878,,2274.68,83186.0,27.34450508,320.0,7.108375,0.38468011,709.0,0.85230688,3.20829337,38.0,61.0,61.0,,37.28983607,38.0,32306.0,32306.0,59.86,14.20243727,22.0,103.3945455,25060.0,25060.0,79.0,0.0
3080,All-Lookalike-manual-registration 27-07-24,120209316450690318,2026-03-04,active,,,279726.0,1.37793412,,16887.67,385444.0,43.81355009,1361.0,12.40828068,0.35309928,1836.0,0.47633379,9.19807734,16.0,556.0,556.0,,30.37350719,16.0,4109.0,4109.0,1055.479375,0.24331361,536.0,31.50684701,1385.0,1385.0,3.0,12.0
3079,Bottom Funnel – Copy,23848934971910317,2026-03-04,active,actions:purchase,5.0,10410.0,1.73573487,85.0,425.0,18069.0,23.52094748,23.0,18.47826087,0.12728983,36.0,0.19923626,11.80555556,5.0,26.0,26.0,,16.34615385,5.0,5096.0,5096.0,85.0,11.99058824,4.0,106.25,3592.0,3592.0,2.0,0.0
3087,India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,120228467191530318,2026-03-04,active,,,168531.0,1.38045226,,10259.82,232649.0,44.09999613,684.0,14.99973684,0.29400513,1625.0,0.6984771,6.31373538,,320.0,320.0,,32.0619375,,,,,,387.0,26.51116279,60.0,60.0,3.0,4.0
3083,Middle Funnel 2(web visit),23848721350610317,2026-03-04,active,actions:complete_registration,7.0,3871.0,1.72255231,22.18,155.26,6668.0,23.28434313,22.0,7.05727273,0.32993401,68.0,1.01979604,2.28323529,,7.0,6.0,1.0,22.18,,,,,,1.0,155.26,160.0,160.0,15.0,0.0
3077,Middle Funnel Ad 3(fb-insta),23848721470940317,2026-03-04,active,actions:complete_registration,50.0,18642.0,1.31729428,8.3328,416.64,24557.0,16.9662418,86.0,4.84465116,0.35020564,395.0,1.60850267,1.05478481,,50.0,39.0,11.0,8.3328,,,,,,11.0,37.87636364,123.0,123.0,57.0,0.0
3078,NF App Conversions,23848933924920317,2026-03-04,active,In-app purchases,9.0,7058.0,1.79611788,119.2822222,1073.54,12677.0,84.68407352,448.0,2.39629464,3.53395914,435.0,3.43141122,2.46790805,9.0,13.0,13.0,,82.58,9.0,5373.0,5373.0,119.2822222,5.00493694,,,2459.0,2459.0,,1.0
3076,New App IOS KSA promotion campaign,120212785502620318,2026-03-04,active,,,15471.0,1.28369207,,3019.63,19860.0,152.0458208,178.0,16.96421348,0.89627392,248.0,1.24874119,12.17592742,,44.0,44.0,,68.62795455,,,,,,64.0,47.18171875,,,,1.0
3090,New App promotion oman and bahrain Campaign 22 jan 2026,120237325237390318,2026-03-04,active,In-app purchases,2.0,23829.0,1.5754333,1474.85,2949.7,37541.0,78.57276045,160.0,18.435625,0.42620069,191.0,0.50877707,15.4434555,2.0,97.0,97.0,,30.40927835,2.0,2135.76,2135.76,1474.85,0.72406007,75.0,39.32933333,207.0,207.0,1.0,1.0
3089,New Awareness campaign 24/10/25 –duplicate (07/11/25),120233503097150318,2026-03-04,active,,,603011.0,1.01687366,,947.01,613186.0,1.54440904,111.0,8.53162162,0.01810217,415.0,0.0676793,2.28195181,,1.0,1.0,,947.01,,,,,,1.0,947.01,44.0,44.0,29.0,3.0
3088,New qatar App promotion Campaign 23 sept 25,120231060494030318,2026-03-04,active,,,16361.0,1.44025426,,2166.46,23564.0,91.93939908,137.0,15.81357664,0.58139535,158.0,0.67051434,13.71177215,,114.0,114.0,,19.00403509,,,,,,72.0,30.08972222,154.0,154.0,,0.0
3086,UAE App promotion Campaign 26 June 25,120225757421370318,2026-03-04,active,In-app purchases,2.0,10671.0,1.33558242,879.275,1758.55,14252.0,123.3896997,133.0,13.22218045,0.93320236,161.0,1.12966601,10.92267081,2.0,98.0,98.0,,17.94438776,2.0,4361.86,4361.86,879.275,2.48037303,78.0,22.54551282,222.0,222.0,,1.0
3066,Advantage+ KSA app campaign 01/08/2024 Campaign,120209414239730318,2026-03-05,active,In-app purchases,1.0,17683.0,1.26420856,1910.64,1910.64,22355.0,85.46812794,208.0,9.18576923,0.93044062,223.0,0.9975397,8.56789238,1.0,124.0,124.0,,15.4083871,1.0,2507.11,2507.11,1910.64,1.31218335,106.0,18.02490566,333.0,333.0,,0.0
3070,Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,120217652310390318,2026-03-05,active,In-app purchases,27.0,614341.0,1.34641836,1230.728519,33229.67,827160.0,40.17320712,2500.0,13.291868,0.30223899,3632.0,0.4390928,9.14913822,27.0,1199.0,1199.0,,27.71448707,27.0,15240.0,15240.0,1230.728519,0.45862628,1025.0,32.41919024,3120.0,3120.0,2.0,24.0
3067,Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,120212196648420318,2026-03-05,active,In-app purchases,14.0,79654.0,1.29388355,421.5914286,5902.28,103063.0,57.26866092,493.0,11.97217039,0.47834819,609.0,0.59090071,9.69175698,14.0,278.0,278.0,,21.23122302,14.0,15847.18,15847.18,421.5914286,2.68492515,238.0,24.7994958,653.0,653.0,,5.0
3068,Advantage+ shopping campaign 02/03/2025 Campaign,120215731086760318,2026-03-05,active,,,23558.0,2.34523304,,1422.36,55249.0,25.74453836,195.0,7.29415385,0.35294756,762.0,1.37921048,1.86661417,27.0,56.0,53.0,3.0,25.39928571,29.0,29947.0,24359.0,49.04689655,21.05444473,20.0,71.118,21213.0,21213.0,61.0,1.0
3065,All-Lookalike-manual-registration 27-07-24,120209316450690318,2026-03-05,active,,,245655.0,1.37698805,,14642.46,338264.0,43.28707755,1148.0,12.7547561,0.33937989,1619.0,0.47862025,9.04413836,12.0,481.0,481.0,,30.44170478,12.0,3529.0,3529.0,1220.205,0.24101141,416.0,35.19822115,1200.0,1200.0,,11.0
